,0,1,class
F[B-]1(F)n2cccc2C(c2ccc3ccc4cccc5ccc2c3c45)=C2C=CC=[N+]21,-10.339768,1.2962307,9
F[B-]1(F)n2cccc2C(c2ccc3ccc4cccc5ccc2c3c45)=C2C=CC=[N+]21,-10.340079,1.2964022,9
CC1=[N+]2C(=C(c3ccc4ccc5cccc6ccc3c4c56)c3ccc(C)n3[B-]2(F)F)C=C1,-12.290387,-0.8621065,9
CC1=[N+]2C(=C(c3ccc4ccc5cccc6ccc3c4c56)c3ccc(C)n3[B-]2(F)F)C=C1,-12.290485,-0.86196923,9
CC1=CC(C)=[N+]2C1=C(c1ccc3ccc4cccc5ccc1c3c45)c1c(C)cc(C)n1[B-]2(F)F,-18.10457,-5.045417,9
CC1=CC(C)=[N+]2C1=C(c1ccc3ccc4cccc5ccc1c3c45)c1c(C)cc(C)n1[B-]2(F)F,-18.103785,-5.0389137,9
CCC1=C(C)C2=C(c3ccc4ccc5cccc6ccc3c4c56)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,-15.885858,0.21922043,9
CCC1=C(C)C2=C(c3ccc4ccc5cccc6ccc3c4c56)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,-15.885858,0.21922135,9
CC1=[N+]2C(=C(c3ccc(-c4ccc5ccc6cccc7ccc4c5c67)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,-11.507124,-0.8281347,9
CC1=[N+]2C(=C(c3ccc(-c4ccc5ccc6cccc7ccc4c5c67)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,-11.508956,-0.824563,9
CCC1=C(C)C2=C(c3ccc4c5cccc6cccc(c7cccc3c74)c65)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,-15.9547,0.67726785,9
CCC1=C(C)C2=C(c3ccc4c5cccc6cccc(c7cccc3c74)c65)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,-15.954844,0.67731774,9
F[B-]1(F)n2cccc2C(c2c3ccccc3cc3ccccc23)=C2C=CC=[N+]21,-9.008197,0.78566164,9
F[B-]1(F)n2cccc2C(c2c3ccccc3cc3ccccc23)=C2C=CC=[N+]21,-9.00784,0.7855034,9
CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,-10.549442,-2.36757,9
CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,-10.54331,-2.3681421,9
COc1ccc(C2=C3C=CC(c4ccc(OC)cc4)=[N+]3[B-](F)(F)n3c2ccc3-c2ccc(OC)cc2)cc1,-8.909346,-2.7938144,9
COc1ccc(C2=CC3=C(c4ccc(OC)cc4)c4cc(-c5ccc(OC)cc5)cn4[B-](F)(F)[N+]3=C2)cc1,-7.852002,-3.1074398,9
CC1=C(I)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(I)c(C)n1[B-]2(F)F,-10.31887,-8.72635,9
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(C)c(I)c(C)c32)c1,-10.840719,-9.263271,9
CC1=C(I)C(C)=[N+]2C1=C(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)c1c(C)c(I)c(C)n1[B-]2(F)F,-10.588852,-9.206501,9
